numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
44,KLEIN,PASTO MAKARIKARI,,Panicum coloratum var. makarikariensis,FO,1980-05-05,,,ARG,,,,,,,
75,LONG WHITE FLINT SEL.MA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
120,COLORADO MANFREDI MA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
240,BUCK 152,AVENA AMARILLA,,Avena byzantina K. Koch,CE,1980-05-05,,,ARG,,,,,,,
346,COLORADO LA HOLANDESA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
354,BUENOS AIRES 106,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
373,PICO MAG,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
404,AMARILLO PRECOZ DE SIMONI,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
422,MORGAN RENDIDOR,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
425,BORDENAVE RANQUELINA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,,,,
434,INSAVE FA,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,UNIV. NAC. DE LA PLATA - FAC. CS. AGR. Y FOREST.,FEUILLADE ATILIO,,
438,PUNTERO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
448,MANFREDI SUQUIA,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,SEMILLERIA GUASCH S.R.L.,SEMILLERA GUASCH S.R.L.,,
454,OLIVEROS LITORAL SAG,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1964-02-27,,,ARG,,,,INTA E.E.A.OLIVEROS LABORATORI,"BRADA, RENE EDUARDO",,
461,TEZANOS PINTO TARAGUI,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
474,TAGANROG SEL BUCK,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1979-03-12,,,ARG,,,,,,,
478,MAGNIF CATEDRAL SAG,AVENA BLANCA,VARIEDAD,Avena sativa L.,CE,1983-02-14,,,ARG,,,,,,,
494,PERGAMINO GUAZU,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
502,FUNK G 144,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,,,,,,,,
507,IMPIRA INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
509,PARANA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
514,TAGANROG BUCK BALCARCE,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1980-05-05,,,ARG,,,,,,,
519,GUAYACAN INTA,GIRASOL CONFITURA,HIBRIDO,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
531,SANTA CATALINA 6,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
534,CARGILL RECORD 103 A,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
535,ABATI INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
536,CAMPEON Nº1,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
546,RANCAGUA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
553,CARGILL RECORD 110,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
559,CORDOBES INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
563,CALCU INTA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,INST. NAC. TEC. AGROPECUARIA,INST. NAC. TEC. AGROPECUARIA,,
568,PASTOREO MASSAUX,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
581,FUNK G CEROSO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,UN3,,,,,,,
583,CERRILLOS 300 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
584,CERRILLOS 301 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
585,FAMAILLA 222 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
586,FAMAILLA 235 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
594,CARGILL 360,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
595,CARGILL SEMIDEN Nº2,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
599,NORKIN ARRIERO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
600,ABATI 2 INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
601,PARANA Nº2 INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
602,FORTUNA INTA,ARROZ,,Oryza sativa L.,CE,1980-05-05,,,ARG,,,,,,,
603,SUREGRAIN,AVENA BLANCA,VARIEDAD,Avena sativa L.,CE,1980-05-05,,,,,,,,,,
605,BUCK ANDINA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,,,,
610,PEHUEN INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
617,BUCK EPECUEN,AVENA AMARILLA,,Avena byzantina K. Koch,CE,1980-05-05,,,ARG,,,,,,,
619,CONTINENTAL 1103,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
623,CARGILL RECORD 120,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
626,RECONQUISTA INTA,LINO,,Linum usitatissimum L.,OL,1984-08-31,,,ARG,,,,INTA E.E.A.RECONQUISTA,GARCIA UBALDO,,
627,TAPE PARANA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,INTA E.E.A.PARANA,ROSBACO FRANCISCO URBANO,,
631,LA PLATA CAFPTA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,LA PLATA CEREAL SA,ORFILA EDGARDO NORBERTO,,
632,GUAYCURU INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
633,CONTINENTAL 1201,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
634,BORDENAVE INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
635,NORKIN ZEA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
636,NORKIN SOL,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
637,TEEA 64,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,ESTACION EXPERIMENTAL AGRO INDUSTRIAL OBISPO COLOMBRES,,,
638,MOROTIE INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
639,COLORADO AMBUE INTA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
640,MORGAN SUPERIOR,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
642,SAFICO,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
643,CONESA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,INTA E.E.A.PERGAMINO,VON DER PAHLEN ALEJO,,
646,FUNCK'S G ACEITERO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,,,,,,,,
648,SUPER FUNK,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
650,AMARILLO CERRILLOS 21,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
655,DEKALB D740,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
656,RIESTRA 70,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,FORRAJERAS BONAERENSE S.A.,,,
657,VNIIMK 6540,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,RUS,,,,,,,
658,BOYERO Nº2,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
660,CONTINENTAL CONTIMAX,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
661,LEALES 25 INTA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,INTA E.E.A.FAMAILLA,FERNANDEZ ULIVARRI ROBERTO,,
663,NORKIN TROJA,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
676,DEKALB G 104,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
677,CARGIL RECORD 105,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
678,CARGILL RECORD 111,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
679,CARGILL RECORD 140,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
680,DON PEDRO 72,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
681,BALCARCEÑO INTA,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1980-05-05,,,ARG,,,,INTA E.E.A.BALCARCE,PASCUALE DOMINGO R.,,
697,LA PLATA BORDEBA FA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,UNIV. NAC. DE LA PLATA - FAC. CS. AGR. Y FOREST.,ORFILA EDGARDO NORBERTO,,
698,CARGILL SEMIDEN Nº3,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
699,FORESTAL CAMBA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
700,NEGRO BELLOCQ,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,CHACRA EXPERIMENTAL BELLOQ,PEREYRAS NICOLAS LUIS,,
712,ALFONZO INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,INTA E.E.A.PERGAMINO,VON DER PAHLEN ALEJO,,
713,CONTINENTAL CONTIPLATA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
714,CONTINENTAL CONTIGRAN,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
716,SIERRA VOLCAN INTA,PAPA,VARIEDAD,Solanum tuberosum L.,HT,1984-08-22,,,ARG,,,,,,,
717,BONAERENSE CAMPEONA,PAPA,VARIEDAD,Solanum tuberosum L.,HT,1984-08-22,,,ARG,,,,,,,
718,BONAERENSE LA BALLENERA,PAPA,VARIEDAD,Solanum tuberosum L.,HT,1984-08-22,,,ARG,,,,,,,
719,BONAERENSE LA TOTORA,PAPA,VARIEDAD,Solanum tuberosum L.,HT,1984-08-22,,,ARG,,,,,,,
730,FORESTAL 600,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
731,FORESTAL 1100,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
732,COLORADO LA HOLANDESA MEJORADO,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
733,CARGILL PRECOZ Nº6,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
742,CARGILL SUPER 200,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
743,NORKIN FIERRO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1983-05-05,,,ARG,,,,,,,
744,CONTINENTAL CONTIORO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
745,MORGAN 52,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
752,ASGROW 204,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
753,ASGROW 325,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
761,RUMBOS DON ALFREDO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
764,ASGROW 56 A,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
765,ASGROW 350,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
767,CONTIFLOR,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
768,CARGILL PRECOZ Nº 5,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
769,CARGILL PRECOZ Nº 8,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
770,DEKALB 4 F 31,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
772,DEKALB G 97,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
773,TEEA COLMENAR,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
777,HUITRU INTA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,INTA E.E.A.BORDENAVE,CLAVE ADOLFO ENRIQUE,,
778,BOYERO Nº 3,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
779,SPS 505,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
782,DEKALB 4 F 32,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
783,CONESA P 1,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
784,AGUARA INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
785,CONTINENTAL P 75,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
786,ALCORTA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,INTA E.E.A.PERGAMINO,VON DER PAHLEN ALEJO,,
789,CARGILL SUPER 100,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
790,NORKINSOL 2,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
793,CARGILL TROPICO 200,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
795,KLEIN CASARES,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
796,IRUPE INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
797,TRIUNFADOR,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
799,BOYERO 4,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
800,CHOIQUE INTA,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,INTA E.E.A.BORDENAVE,CLAVE ADOLFO ENRIQUE,,
801,MOREGRAIN,AVENA BLANCA,VARIEDAD,Avena sativa L.,CE,1980-05-05,,,UN3,,,,,,,
802,AGROLIT C 40,MAIZ,VARIEDADES,Zea mays L.,CE,1980-07-07,,,ARG,,,,AGROLIT S.A.,SPIAGGI VICTORIO JOSE MARIA,,
803,YERUA PA,ARROZ,,Oryza sativa L.,CE,1980-05-05,,,ARG,,,,UNIV. NAC. DE LA PLATA - FAC. CS. AGR. Y FOREST.,MILAN JORGE DIMITRI,,
805,AMARILLA TOME,AVENA AMARILLA,,Avena byzantina K. Koch,CE,1980-05-05,,,ARG,,,,,,,
806,INVERNADOR,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
807,ASGROW 351,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
808,CARGILL PRECOZ 10,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
809,M 400,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
810,MORGAN 300,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
811,DEKALB 4 F 33,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
821,BONAERENSE VALVERDE,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1980-05-05,,,ARG,,,,,,,
822,891,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,UN3,,,,,,,
823,894,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,UN3,,,,,,,
825,CARGILL SUPER 200 A,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
826,CARGILL SUPER 400,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
827,CARGILL SUPER 405,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
828,CARGILL SUPER 500,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
830,DEKALB 4 F 34,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
831,DEKALB 2 F 10,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
832,CONTINENTAL CONTIPLUS,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
837,CONTIFLOR 2,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
841,GUAYACAN 2 INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,INTA E.E.A.PERGAMINO,,,
842,BUCK MECHONGUE,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1980-05-05,,,ARG,,,,JOSE BUCK S.A.,BUCK CARLOS GUILLERMO,,
844,NORTE 160,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
845,NORTE 191,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
847,DEKALB 4 F 35,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
850,MANANTIAL 2000,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
851,CONTINENTAL P 78,GIRASOL,HIBRIDO DE TRES LINEAS,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
852,SPS 525,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1979-12-13,,,ARG,,,,MONES CAZON LAUREANO WENCESLAO,MONES CAZON LAUREANO WENCESLAO,,
855,NORKINTRES 213,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1979-12-13,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
857,NORKINSOL 2001,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1979-12-13,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
858,NORKINAL 3005,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1979-12-13,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
859,DON FAUSTINO INTA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-07-07,,,ARG,,,,INTA E.E.A.BORDENAVE,GLAVE ADOLFO ENRIQUE,,
860,CARGILL PRECOZ Nº12,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1979-12-13,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
861,CHARATA INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-07-07,,,ARG,,,,INTA E.E.A.PCIA.R.S.PEÑA,TORCASSO VICENTE LUIS,,
865,SPS 707,GIRASOL,HIBRIDO DE TRES LINEAS,Helianthus annuus L.,OL,1980-07-07,,,ARG,,,,TOOL RESEARCH ARGENTINA,MONES CAZON LAUREANO WENCESLAO,,
867,MALABRIGO INTA,LINO,,Linum usitatissimum L.,OL,1980-07-07,,,ARG,,,,INTA E.E.A.RECONQUISTA,MARCIOTTE CARLOS VICTORIO,,
868,SUNBRED BRAND 254,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-05-23,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
870,DEKALB G 98,GIRASOL,HIBRIDO DE TRES LINEAS,Helianthus annuus L.,OL,1980-07-07,,,ARG,,,,DEKALB ARGENTINA S.A.,AGRASAR JORGE RAMON ENRIQUE,,
871,SUN GRO 380 A,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-07-07,,,UN3,,,,SANTA URSULA S.A.A.I.C.,ANDRES JOSE MARIA,,
872,TRIBRIDO 81,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-07-07,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
873,TRIBRIDO 82,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1980-07-07,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
874,RECORD 150,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-07-07,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
878,SUNBRED BRAND 212,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-07-07,,,UN3,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
879,POI 301 A,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,1980-07-07,,,UN3,,,,AGROCORD SRL,WESTER OTTO PETER,,
881,MOROCHO INTA,MAIZ,VARIEDADES,Zea mays L.,CE,1982-06-24,,,ARG,,,,INTA E.E.A.FAMAILLA,FOGLIATA FRANCO AUGUSTO,,
882,TROPICO 226,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
883,RECORD 155,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
884,FORESTAL 3 X 100,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,FORESTAL PERGAMINO,ROSBACO FRANCISCO URBANO,,
886,AGUARIBAY INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1982-12-02,,,ARG,,,,INTA E.E.A.PERGAMINO,VON DER PAHLEN ALEJO,,
888,COLORADO LA HOLANDESA SUPER AV,MAIZ,VARIEDADES,Zea mays L.,CE,1984-02-02,,,ARG,,,,AGROLIT S.A.,ZAMBRUNI JOSE ANTONIO,,
890,TUC RENDIDOR,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1983-09-13,,,ARG,,,,ESTACION EXPERIMENTAL AGRO INDUSTRIAL OBISPO COLOMBRES,HEMSY VICTOR,,
891,M 303,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,SANTA URSULA S.A.A.I.C.,ANDRES JOSE MARIA,,
892,TROPICO 228,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,CARGILL S.A.,SAVOIA HECTOR JULIO,,
893,NORKINTRES 214,MAIZ,HIBRIDO TRIPLE,Zea mays L.,CE,1981-09-11,,,ARG,,,,ENEKA SEMILLAS S.A.,GENIN RICARDO,,
894,EL GRINGO INTA,PASTO ROMANO,,Phalaris minor Retz,FO,1981-01-13,,,ARG,,,,,,,
895,PERGAMINO MARTIN FIERRO MAG,CEBADILLA CRIOLLA,,Bromus catharticus Vahl.,FO,1981-01-13,,,ARG,,,,,,,
896,PERGAMINO EL PALENQUE MAG,FESTUCA ALTA,,Festuca arundinacea Schreber,FO,1981-01-13,,,ARG,,,,,,,
897,PERGAMINO EL CENCERRO MAG,PASTO OVILLO,,Dactylis glomerata L.,FO,1981-01-13,,,ARG,,,,,,,
898,PERGAMINO EL DOMADOR MAG,TREBOL DE OLOR BLANCO,,Melilotus alba Medikus,FO,1981-01-13,,,ARG,,,,,,,
899,PERGAMINO EL LUCERO MAG,TREBOL BLANCO,,Trifolium repens L.,FO,1981-01-13,,,ARG,,,,,,,
900,MANFREDI XANES MAG,MIJO,,Panicum miliaceum L.,CE,1981-01-13,,,ARG,,,,,,,
901,PERGAMINO EL BOYERO MAG,TREBOL DE LOS CUERNITOS,,Lotus corniculatus L.,FO,1981-01-13,,,ARG,,,,,,,
902,FORTIN PERGAMINO,ALFALFA,,Medicago sativa L.,FO,1981-01-13,,,ARG,V,,,,,,
903,PERGAMINO EL RESERO MAG,RAIGRAS ANUAL,,Lolium multiflorum Lam.,FO,1981-01-13,,,ARG,,,,,,,
904,EL VIZCACHERO INTA,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,FO,1981-01-13,,,ARG,,,,,,,
905,PERGAMINO EL GAUCHO INTA,PHALARIS AQUATICA L.,,Phalaris aquatica L.,FO,1981-01-13,,,ARG,,,,,,,
906,FORTINERA INTA,VICIA BENGHALENSIS,,Vicia benghalensis L.,FO,1981-01-13,,,ARG,,,,,,,
907,EL SUREÑO INTA,TREBOL ROJO,,Trifolium pratense L.,FO,1981-01-13,,,ARG,,,,,,,
