numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14062,IGUAZU 51,ESTEVIA,,Stevia rebaudiana,CI,2012-12-28,,,ARG,,,,COOP.TABACALERA DE MISIONES LT,CPN JORGE JULIO CESAR NESTOR,,
14063,IGUAZU MARY LOU,ESTEVIA,,Stevia rebaudiana,CI,2012-12-28,,,ARG,,,,COOP.TABACALERA DE MISIONES LT,CPN JORGE JULIO CESAR NESTOR,,
14064,IGUAZU 24,ESTEVIA,,Stevia rebaudiana,CI,2012-12-28,,,ARG,,,,COOP.TABACALERA DE MISIONES LT,CPN JORGE JULIO CESAR NESTOR,,
14065,IGUAZU COATI,ESTEVIA,,Stevia rebaudiana,CI,2012-12-28,,,ARG,,,,COOP.TABACALERA DE MISIONES LT,CPN JORGE JULIO CESAR NESTOR,,
14066,BLACK PEARL,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-12-19,,,ISR,,,,SEMILLAS EMILIO S.R.L.,KRAMAROVSKY EMILIO,,
14067,BOLLYTOS,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-12-19,,,ISR,,,,SEMILLAS EMILIO S.R.L.,KRAMAROVSKY EMILIO,,
14068,MINI TIGER,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-12-19,,,ISR,,,,SEMILLAS EMILIO S.R.L.,KRAMAROVSKY EMILIO,,
14069,TT564,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-12-19,,,ISR,,,,SEMILLAS EMILIO S.R.L.,KRAMAROVSKY EMILIO,,
14070,PAN 7047CL,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-09-19,,,ARG,,,,PANNAR SEMILLAS SRL,BOCCA JORGE,,
14071,LG5668,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-09-13,,,FRA,,,,LIMAGRAIN SOUTH AMERICA S.A.,SICILIANO RICARDO ROBERTO,,
